Timestamp,TradeId,Price,Amount,Type
1538092557,299373065,0.0094607,7.84236344,buy
1538092557,299373064,0.0094607,42.15763656,buy
1538092520,299373018,0.009459,0.5,sell
1538092265,299372538,0.0094607,2.29558696,buy
1538092128,299372244,0.0094607,2.6233,buy
1538092124,299372236,0.0094563,0.339,sell
1538092119,299372233,0.0094607,5.79347648,buy
1538091956,299371635,0.0094528,2.81417734,buy
1538091956,299371634,0.0094528,1.40612266,buy
1538091749,299371049,0.00945,3.45914589,buy
1538091710,299370938,0.0094314,1.01955176,buy
1538091693,299370884,0.0094426,1.40992739,sell
1538091693,299370883,0.0094427,4.74672,sell
1538091621,299370673,0.0094459,0.912,sell
1538091605,299370585,0.00945,0.2,buy
1538091567,299370447,0.0094496,1.404,sell
1538091562,299370437,0.0094535,0.404798,sell
1538091562,299370436,0.0094535,0.40849391,sell
1538091562,299370435,0.0094535,0.89174597,sell
1538091562,299370434,0.0094544,0.00000212,sell
1538091561,299370433,0.0094544,3.75924,sell
1538091276,299369678,0.0094494,0.499,sell
1538091169,299369361,0.0094592,1.41664742,buy
1538091169,299369360,0.0094592,1.08335258,buy
1538090990,299368865,0.0094504,0.623068,sell
1538090794,299368232,0.0094606,38.07811607,buy
1538090794,299368231,0.0094599,3.996,buy
1538090735,299367920,0.0094516,1.244108,sell
1538090662,299367542,0.0094564,1.62971848,sell
1538090473,299366784,0.0094598,3.0,buy
1538090121,299365783,0.0094198,2.0104235,sell
1538090045,299365558,0.0094303,11.12,buy
1538090045,299365557,0.0094303,8.88,buy
1538090045,299365554,0.0094303,11.12,buy
1538090035,299365497,0.0094326,8.88,buy
1538090013,299365417,0.0094534,29.0,sell
1538089955,299365307,0.0094514,0.31798205,sell
1538089954,299365299,0.0094614,2.61636038,sell
1538089954,299365298,0.0094615,2.85199952,sell
1538089954,299365297,0.0094637,2.24693401,sell
1538089954,299365296,0.0094637,0.35270541,sell
1538089954,299365295,0.0094637,2.22868524,sell
1538089954,299365294,0.0094637,0.93546256,sell
1538089954,299365293,0.0094637,0.61067157,sell
1538089954,299365292,0.0094637,0.51992492,sell
1538089940,299365266,0.0094623,0.29351935,sell
1538089940,299365265,0.0094625,10.0,sell
1538089940,299365264,0.0094625,0.2,sell
1538089940,299365263,0.0094625,0.2,sell
1538089898,299365021,0.0094699,5.0,sell
1538089894,299364954,0.0094724,5.0,sell
1538089773,299364311,0.0094761,0.712,buy
1538089768,299364298,0.0094642,2.34087,buy
1538089768,299364297,0.0094642,5.0,buy
1538089676,299364055,0.0094548,1.90999952,buy
1538089676,299364054,0.00945,0.00000048,buy
1538089666,299363978,0.00945,22.78275,buy
1538089591,299363685,0.0094493,1.23,buy
1538089484,299363445,0.0094492,0.59896343,buy
1538089426,299363288,0.0094319,0.7,sell
1538089413,299363276,0.0094282,0.2,sell
1538089412,299363274,0.0094282,0.94030251,sell
1538089412,299363273,0.0094282,0.45969749,sell
1538089102,299362523,0.0094348,0.47297574,buy
1538089102,299362522,0.0094348,0.42847294,buy
1538089102,299362521,0.0094348,0.20944963,buy
1538089037,299362358,0.0094322,5.0,sell
1538089032,299362347,0.0094365,10.57920571,sell
1538089032,299362346,0.0094365,1.45526429,sell
1538089032,299362343,0.0094365,40.87053857,sell
1538089032,299362342,0.0094365,1.16290143,sell
1538089032,299362340,0.0094365,20.0,sell
1538088935,299362028,0.009445,1.58348,sell
1538088935,299362027,0.009445,1.583332,sell
1538088850,299361730,0.0094474,4.0,buy
1538088836,299361525,0.0094349,5.0,buy
1538088836,299361508,0.0094301,88.92549707,buy
1538088736,299361079,0.0094301,1.8600246,buy
1538088695,299360983,0.0094301,4.799022,buy
1538088695,299360982,0.0094301,11.860019,buy
1538088693,299360973,0.0094299,4.0,buy
1538088640,299360779,0.0094301,3.738,sell
1538088636,299360777,0.0094297,15.57962608,sell
1538088636,299360776,0.00943,0.29037392,sell
1538088636,299360775,0.00943,4.0,sell
1538088631,299360705,0.0094637,21.13,sell
1538088631,299360704,0.0094637,20.77,sell
1538088627,299360697,0.0094593,0.2,sell
1538088626,299360688,0.0094658,20.0,sell
1538088622,299360652,0.0094659,10.0,buy
1538088621,299360648,0.0094659,1.494,buy
1538088621,299360643,0.0094659,8.0,buy
1538088618,299360610,0.0094659,2.283,buy
1538088618,299360589,0.0094659,0.3,buy
1538088617,299360588,0.0094659,0.6,buy
1538088617,299360577,0.0094659,0.376,buy
1538088617,299360576,0.0094659,0.552,buy
1538088616,299360569,0.0094659,1.134,buy
1538088616,299360564,0.0094659,0.322,buy
1538088616,299360554,0.0094659,2.143,buy
1538088616,299360553,0.0094659,1.045,buy
1538088616,299360552,0.0094659,1.062,buy
1538088616,299360551,0.0094659,0.455,buy
1538088616,299360550,0.0094659,2.638,buy
1538088615,299360539,0.0094659,1.288,buy
1538088615,299360535,0.0094659,7.95795796,buy
1538088615,299360528,0.0094659,1.0,buy
1538088613,299360466,0.0094473,143.0,buy
1538088610,299360397,0.0094309,22.42,buy
1538088610,299360380,0.0094232,21.0,buy
1538088610,299360345,0.0094242,53.08,buy
1538088571,299359987,0.0094211,31.0,buy
1538088571,299359986,0.0094211,15.0,buy
1538088567,299359970,0.0094211,5.0,buy
1538088559,299359939,0.0094174,4.0,buy
1538088546,299359789,0.009422,4.0,sell
1538088544,299359733,0.009425,0.2,sell
1538088544,299359719,0.00943,100.0,sell
1538088544,299359715,0.00943,50.596,sell
1538088506,299359212,0.00943,15.87,sell
1538088505,299359209,0.0094358,0.9856929,sell
1538088505,299359201,0.0094377,10.0,sell
1538088498,299359157,0.0094484,1.0,buy
1538088497,299359156,0.0094483,5.0,sell
1538088342,299358787,0.0094508,0.25879875,buy
1538088325,299358741,0.0094572,0.5,buy
1538088321,299358730,0.0094569,36.00000458,buy
1538088319,299358729,0.0094549,10.0,buy
1538088319,299358728,0.0094549,4.0,buy
1538088287,299358612,0.00945,40.0,buy
1538088287,299358611,0.00945,10.0,buy
1538088281,299358569,0.0094603,0.2,sell
1538088270,299358533,0.0094418,94.69969005,sell
1538088270,299358532,0.0094433,0.78896085,sell
1538088270,299358531,0.0094433,17.39959143,sell
1538088270,299358530,0.0094455,2.11175767,sell
1538088270,299358529,0.0094485,5.0,sell
1538088270,299358526,0.0094433,12.60040857,sell
1538088270,299358525,0.0094434,41.17,sell
1538088270,299358524,0.0094437,3.9429378,sell
1538088270,299358523,0.0094437,3.9429378,sell
1538088270,299358522,0.0094454,5.2,sell
1538088270,299358521,0.0094464,10.56245048,sell
1538088270,299358520,0.0094468,40.0,sell
1538088270,299358519,0.0094469,2.11159853,sell
1538088270,299358518,0.0094482,0.46966682,sell
1538088269,299358515,0.0094482,3.35766207,sell
1538088269,299358512,0.0094453,16.23163523,sell
1538088269,299358511,0.0094455,96.65691493,sell
1538088269,299358510,0.0094489,2.11144984,sell
1538088269,299358509,0.0094555,5.0,sell
1538088269,299358503,0.0094455,28.43410623,sell
1538088269,299358502,0.0094455,3.9429378,sell
1538088269,299358501,0.0094455,3.9429378,sell
1538088269,299358500,0.0094464,10.56300834,sell
1538088269,299358499,0.0094469,12.59239827,sell
1538088269,299358498,0.0094473,3.58142226,sell
1538088269,299358497,0.0094484,21.11820917,sell
1538088269,299358496,0.0094488,5.2,sell
1538088269,299358495,0.0094507,5.2,sell
1538088269,299358494,0.0094509,2.11128176,sell
1538088269,299358493,0.009451,9.08559379,sell
1538088269,299358492,0.0094554,3.669,sell
1538088269,299358491,0.0094554,10.55910458,sell
1538088268,299358490,0.0094469,10.0,sell
1538088268,299358489,0.0094469,0.40760173,sell
1538088268,299358488,0.00945,0.19239827,sell
1538088268,299358487,0.00945,5.10760173,sell
1538088268,299358486,0.00945,14.89239827,sell
1538088268,299358485,0.00945,0.10760173,sell
1538088268,299358484,0.0094508,33.0,sell
1538088268,299358483,0.0094509,2.11089229,sell
1538088268,299358482,0.0094542,23.0,sell
1538088268,299358481,0.0094564,21.10649973,sell
1538088268,299358480,0.0094578,2.675,sell
1538088268,299358479,0.0094578,29.0,sell
1538088268,299358478,0.0094579,4.0,sell
1538088268,299358477,0.0094696,5.0,sell
1538088268,299358476,0.0094697,0.00000625,sell
1538088260,299358463,0.009475,2.93577711,buy
1538088260,299358455,0.009475,0.73394428,buy
1538088182,299358275,0.0094697,0.3038,sell
1538088096,299357746,0.0094599,4.0,buy
1538088060,299357504,0.0094714,10.54462368,sell
1538088060,299357503,0.0094715,0.00000632,sell
1538088059,299357502,0.0094715,0.30334,sell
1538088037,299357340,0.0094658,2.44479129,sell
1538088037,299357339,0.0094705,4.0,sell
1538088037,299357338,0.0094746,0.69961936,sell
1538088037,299357337,0.0094746,0.23334904,sell
1538088037,299357336,0.0094746,0.69637566,sell
1538088037,299357335,0.0094746,0.3634691,sell
1538088037,299357334,0.0094749,0.2,sell
1538088037,299357333,0.0094749,0.27208674,sell
1538088037,299357332,0.009475,10.0,sell
1538088037,299357331,0.0094752,0.74248047,sell
1538088037,299357330,0.0094753,0.30782834,sell
1538087949,299356899,0.0094854,0.26585,sell
1538087665,299355261,0.0095147,5.0,buy
1538087665,299355254,0.0095113,20.0,buy
1538087663,299355239,0.0095026,5.0,buy
1538087610,299354993,0.009485,1.65,buy
1538087561,299354663,0.009485,2.08,buy
1538087420,299353774,0.0094926,0.85359554,sell
1538087420,299353773,0.0094935,4.54781646,sell
1538087412,299353667,0.009487,0.7873431,sell
1538087412,299353666,0.009487,0.37388093,sell
