1532995719,274092716,0.055884,0.36570752,buy
1532995644,274092607,0.055863,0.81535077,sell
1532995622,274092586,0.055852,0.286616,sell
1532995602,274092559,0.055844,0.03834524,sell
1532995602,274092558,0.055844,0.43850999,sell
1532995602,274092557,0.055876,0.01447948,sell
1532995501,274092366,0.055876,0.07491752,sell
1532995497,274092361,0.055877,0.08797726,buy
1532995497,274092360,0.055863,0.02019999,buy
1532995497,274092359,0.055851,0.18715,buy
1532995481,274092322,0.055823,0.08362181,sell
1532995481,274092321,0.055858,0.02,sell
1532995481,274092320,0.055858,0.02,sell
1532995449,274092223,0.055859,0.52882705,buy
1532995422,274092169,0.055858,1.32894493,sell
1532995410,274092107,0.055858,0.03899161,sell
1532995409,274092104,0.055858,0.05101847,sell
1532995408,274092101,0.055858,0.05107331,sell
1532995398,274092078,0.055858,0.19927522,sell
1532995397,274092077,0.055858,1.937,sell
1532995396,274092074,0.055858,0.04504288,sell
1532995396,274092072,0.055858,0.04546421,sell
1532995360,274092017,0.055858,0.32795487,sell
1532995340,274091987,0.055859,0.04114893,buy
1532995339,274091984,0.055859,0.04116917,buy
1532995335,274091974,0.055859,0.64138156,buy
1532995317,274091963,0.055858,0.09578671,sell
1532995317,274091956,0.055858,0.352937,sell
1532995214,274091780,0.055803,0.21520535,sell

